index,name,region,diet,selectedProteins,exclusions,engineVersion,engineSource,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
88,v348 valid veg-quality scenario 88 SA mode 7,SA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 4: eggs snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,107,100,111,99,112]"
89,v348 valid veg-quality scenario 89 AU mode 8,AU,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
90,v348 valid veg-quality scenario 90 CA mode 9,CA,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
91,v348 valid veg-quality scenario 91 US mode 10,US,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
92,v348 valid veg-quality scenario 92 UK mode 11,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,100,112,101,99]"
93,v348 valid veg-quality scenario 93 SA mode 12,SA,omnivore,chicken|beef|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
94,v348 valid veg-quality scenario 94 AU mode 13,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,114,111,92,114]"
95,v348 valid veg-quality scenario 95 CA mode 14,CA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 4: eggs snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,107,100,111,99,112]"
96,v348 valid veg-quality scenario 96 US mode 15,US,omnivore,fish|beef|pork|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""eggs"":3,""fish"":3,""beef"":3}","[91,103,98,100,99,107,95]"
97,v348 valid veg-quality scenario 97 UK mode 16,UK,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
98,v348 valid veg-quality scenario 98 SA mode 17,SA,omnivore,chicken|beef|pork|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""eggs"":2,""pork"":2,""fish"":3,""chicken"":3}","[104,106,98,102,104,107,106]"
99,v348 valid veg-quality scenario 99 AU mode 18,AU,omnivore,chicken|beef|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,102,106]"
100,v348 valid veg-quality scenario 100 CA mode 19,CA,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,100,116,102,108]"
